 v-sweep        v(v_out)       v(d5k)         v(u6a_out)     v(u6b_out)     v(fb)          v(u6a_ideal)   v(u6b_ref)    
 2.5000000e+00  2.5000000e+00  2.4907063e+00  2.4999999e+00  2.4924471e+00  9.2936769e-01  2.5000000e+00  2.4924471e+00 
 2.5100000e+00  2.5100000e+00  2.5006692e+00  2.5099999e+00  2.5024169e+00  9.3308516e-01  2.5100000e+00  2.5024169e+00 
 2.5200000e+00  2.5200000e+00  2.5106320e+00  2.5199999e+00  2.5123867e+00  9.3680263e-01  2.5200000e+00  2.5123867e+00 
 2.5300000e+00  2.5300000e+00  2.5205948e+00  2.5299999e+00  2.5223565e+00  9.4052010e-01  2.5300000e+00  2.5223565e+00 
 2.5400000e+00  2.5400000e+00  2.5305576e+00  2.5399999e+00  2.5323263e+00  9.4423757e-01  2.5400000e+00  2.5323263e+00 
 2.5500000e+00  2.5500000e+00  2.5405205e+00  2.5499999e+00  2.5422961e+00  9.4795504e-01  2.5500000e+00  2.5422961e+00 
 2.5600000e+00  2.5600000e+00  2.5504833e+00  2.5599999e+00  2.5522659e+00  9.5167251e-01  2.5600000e+00  2.5522659e+00 
 2.5700000e+00  2.5700000e+00  2.5604461e+00  2.5699999e+00  2.5622356e+00  9.5538998e-01  2.5700000e+00  2.5622356e+00 
 2.5800000e+00  2.5800000e+00  2.5704089e+00  2.5799999e+00  2.5722054e+00  9.5910745e-01  2.5800000e+00  2.5722054e+00 
 2.5900000e+00  2.5900000e+00  2.5803718e+00  2.5899999e+00  2.5821752e+00  9.6282492e-01  2.5900000e+00  2.5821752e+00 
 2.6000000e+00  2.6000000e+00  2.5903346e+00  2.5999999e+00  2.5921450e+00  9.6654240e-01  2.6000000e+00  2.5921450e+00 
 2.6100000e+00  2.6100000e+00  2.6002974e+00  2.6099999e+00  2.6021148e+00  9.7025987e-01  2.6100000e+00  2.6021148e+00 
 2.6200000e+00  2.6200000e+00  2.6102602e+00  2.6199999e+00  2.6120846e+00  9.7397734e-01  2.6200000e+00  2.6120846e+00 
 2.6300000e+00  2.6300000e+00  2.6202231e+00  2.6299999e+00  2.6220544e+00  9.7769481e-01  2.6300000e+00  2.6220544e+00 
 2.6400000e+00  2.6400000e+00  2.6301859e+00  2.6399999e+00  2.6320242e+00  9.8141228e-01  2.6400000e+00  2.6320242e+00 
 2.6500000e+00  2.6500000e+00  2.6401487e+00  2.6499999e+00  2.6419939e+00  9.8512975e-01  2.6500000e+00  2.6419940e+00 
 2.6600000e+00  2.6600000e+00  2.6501115e+00  2.6599999e+00  2.6519637e+00  9.8884722e-01  2.6600000e+00  2.6519637e+00 
 2.6700000e+00  2.6700000e+00  2.6600744e+00  2.6699999e+00  2.6619335e+00  9.9256469e-01  2.6700000e+00  2.6619335e+00 
 2.6800000e+00  2.6800000e+00  2.6700372e+00  2.6799999e+00  2.6719033e+00  9.9628216e-01  2.6800000e+00  2.6719033e+00 
 2.6900000e+00  2.6900000e+00  2.6800000e+00  2.6899999e+00  2.6818731e+00  9.9999963e-01  2.6900000e+00  2.6818731e+00 
 2.7000000e+00  2.7000000e+00  2.6899628e+00  2.6999999e+00  2.6918429e+00  1.0037171e+00  2.7000000e+00  2.6918429e+00 
 2.7100000e+00  2.7100000e+00  2.6999257e+00  2.7099999e+00  2.7018127e+00  1.0074346e+00  2.7100000e+00  2.7018127e+00 
 2.7200000e+00  2.7200000e+00  2.7098885e+00  2.7199999e+00  2.7117825e+00  1.0111520e+00  2.7200000e+00  2.7117825e+00 
 2.7300000e+00  2.7300000e+00  2.7198513e+00  2.7299999e+00  2.7217523e+00  1.0148695e+00  2.7300000e+00  2.7217523e+00 
 2.7400000e+00  2.7400000e+00  2.7298141e+00  2.7399999e+00  2.7317220e+00  1.0185870e+00  2.7400000e+00  2.7317221e+00 
 2.7500000e+00  2.7500000e+00  2.7397770e+00  2.7499999e+00  2.7416918e+00  1.0223045e+00  2.7500000e+00  2.7416918e+00 
 2.7600000e+00  2.7600000e+00  2.7497398e+00  2.7599999e+00  2.7516616e+00  1.0260219e+00  2.7600000e+00  2.7516616e+00 
 2.7700000e+00  2.7700000e+00  2.7597026e+00  2.7699999e+00  2.7616314e+00  1.0297394e+00  2.7700000e+00  2.7616314e+00 
 2.7800000e+00  2.7800000e+00  2.7696654e+00  2.7799999e+00  2.7716012e+00  1.0334569e+00  2.7800000e+00  2.7716012e+00 
 2.7900000e+00  2.7900000e+00  2.7796283e+00  2.7899999e+00  2.7815710e+00  1.0371743e+00  2.7900000e+00  2.7815710e+00 
 2.8000000e+00  2.8000000e+00  2.7895911e+00  2.7999999e+00  2.7915408e+00  1.0408918e+00  2.8000000e+00  2.7915408e+00 
 2.8100000e+00  2.8100000e+00  2.7995539e+00  2.8099999e+00  2.8015106e+00  1.0446093e+00  2.8100000e+00  2.8015106e+00 
 2.8200000e+00  2.8200000e+00  2.8095167e+00  2.8199999e+00  2.8114804e+00  1.0483268e+00  2.8200000e+00  2.8114804e+00 
 2.8300000e+00  2.8300000e+00  2.8194796e+00  2.8299999e+00  2.8214501e+00  1.0520442e+00  2.8300000e+00  2.8214502e+00 
 2.8400000e+00  2.8400000e+00  2.8294424e+00  2.8399999e+00  2.8314199e+00  1.0557617e+00  2.8400000e+00  2.8314199e+00 
 2.8500000e+00  2.8500000e+00  2.8394052e+00  2.8499999e+00  2.8413897e+00  1.0594792e+00  2.8500000e+00  2.8413897e+00 
 2.8600000e+00  2.8600000e+00  2.8493680e+00  2.8599999e+00  2.8513595e+00  1.0631966e+00  2.8600000e+00  2.8513595e+00 
 2.8700000e+00  2.8700000e+00  2.8593309e+00  2.8699999e+00  2.8613293e+00  1.0669141e+00  2.8700000e+00  2.8613293e+00 
 2.8800000e+00  2.8800000e+00  2.8692937e+00  2.8799999e+00  2.8712991e+00  1.0706316e+00  2.8800000e+00  2.8712991e+00 
 2.8900000e+00  2.8900000e+00  2.8792565e+00  2.8899999e+00  2.8812689e+00  1.0743490e+00  2.8900000e+00  2.8812689e+00 
 2.9000000e+00  2.9000000e+00  2.8892193e+00  2.8999999e+00  2.8912387e+00  1.0780665e+00  2.9000000e+00  2.8912387e+00 
 2.9100000e+00  2.9100000e+00  2.8991822e+00  2.9099999e+00  2.9012084e+00  1.0817840e+00  2.9100000e+00  2.9012085e+00 
 2.9200000e+00  2.9200000e+00  2.9091450e+00  2.9199999e+00  2.9111782e+00  1.0855015e+00  2.9200000e+00  2.9111782e+00 
 2.9300000e+00  2.9300000e+00  2.9191078e+00  2.9299999e+00  2.9211480e+00  1.0892189e+00  2.9300000e+00  2.9211480e+00 
 2.9400000e+00  2.9400000e+00  2.9290706e+00  2.9399999e+00  2.9311178e+00  1.0929364e+00  2.9400000e+00  2.9311178e+00 
